ID,Longitude,Latitude,Elevation_m,SoilDepth_m,Drainage,Permeability,pH,OrganicCarbon_pct,Management_Zone,Recommended_Rotation
899+Wagga_SLM+BD75,147.4656066895,-35.0167694092,630.0,2.0,3.0,2.0,5.55,1.61,2,Barley - Chickpea - Wheat
899+SSM+SSM107,147.4507141113,-34.2229232788,630.0,0.9,3.0,1.0,4.14,1.83,0,Oats - Lupin - Pasture
899+SSM+SSM32,148.5298614502,-34.5230484009,630.0,0.9,4.0,3.0,4.7,0.81,0,Oats - Lupin - Pasture
899+SSM+SSM110,147.3748016357,-34.2412185669,630.0,1.0,3.0,2.0,4.97,1.55,0,Oats - Lupin - Pasture
899+SSM+SSM17,148.2321624756,-32.9950828552,630.0,1.13,4.0,3.0,4.863333333333333,1.55,0,Oats - Lupin - Pasture
899+BGM_FSS+0149,148.1941680908,-35.7380332947,630.0,3.12,5.0,3.0,4.756666666666667,1.55,2,Barley - Chickpea - Wheat
899+SSM+SSM8,148.8229370117,-32.6284561157,630.0,0.95,5.0,3.0,4.65,1.55,0,Oats - Lupin - Pasture
899+Wagga_SLM+LS26,147.4891815186,-35.1631774902,630.0,0.6,4.0,3.0,5.5,1.4,0,Oats - Lupin - Pasture
899+BGM_FSS+0051,148.2884979248,-35.8896865845,630.0,3.0,6.0,4.0,4.88,4.8,2,Barley - Chickpea - Wheat
899+BGM_FSS+0096,148.1672515869,-35.7627677917,630.0,1.25,6.0,4.0,5.15,8.73,0,Oats - Lupin - Pasture
899+BGM_FSS+0026,148.2387542725,-35.9305877686,630.0,0.92,3.0,2.0,5.6000000000000005,8.666666666666666,0,Oats - Lupin - Pasture
899+BGM_FSS+0008,148.315322876,-35.8621673584,630.0,1.47,5.0,3.0,6.05,8.603333333333333,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0048,148.2713470459,-35.8001098633,630.0,2.8,5.0,4.0,6.5,8.54,2,Barley - Chickpea - Wheat
899+Wagga_SLM+LS44,147.5257568359,-35.1607246399,630.0,0.7,4.0,4.0,5.42,3.39,0,Oats - Lupin - Pasture
899+BGM_FSS+0069,148.2570037842,-35.9353294373,630.0,3.23,6.0,4.0,5.3625,2.9250000000000003,2,Barley - Chickpea - Wheat
899+BGM_FSS+0156,148.150177002,-35.7568359375,630.0,3.63,2.0,2.0,5.305,2.46,2,Barley - Chickpea - Wheat
899+BGM_FSS+0065,148.231262207,-35.8989295959,630.0,3.01,5.0,3.0,5.2475000000000005,1.995,2,Barley - Chickpea - Wheat
899+SSM+SSM15,148.2729492188,-33.0027885437,630.0,0.9,4.0,3.0,5.19,1.53,0,Oats - Lupin - Pasture
899+Morphology+CP316,151.3070220947,-33.3711090088,630.0,1.6,4.0,3.0,7.5,1.54,1,Durum Wheat - Lentil - Barley
899+SSM+SSM147,147.0621643066,-32.8992156982,630.0,1.0,3.0,2.0,5.19,1.1,0,Oats - Lupin - Pasture
899+Morphology+CP333,152.8574981689,-31.0595493317,630.0,1.35,6.0,4.0,6.0,1.97,1,Durum Wheat - Lentil - Barley
899+Morphology+CP330,151.6639099121,-30.440990448,630.0,1.3,2.0,2.0,6.18,0.86,1,Durum Wheat - Lentil - Barley
899+Morphology+CP329,151.6499023438,-30.4751338959,630.0,1.5,3.0,2.0,5.5,3.04,0,Oats - Lupin - Pasture
899+SSM+SSM143,147.2228240967,-33.4312171936,630.0,0.9,2.0,2.0,4.55,1.11,0,Oats - Lupin - Pasture
899+SSM+SSM6,148.8464050293,-32.5257453918,630.0,0.85,4.0,3.0,5.05,0.58,0,Oats - Lupin - Pasture
899+SSM+SSM9,148.7986602783,-32.6405296326,630.0,0.85,4.0,3.0,4.5,1.26,0,Oats - Lupin - Pasture
899+BGM_ESM+1012,148.150177002,-35.6100692749,630.0,3.36,5.0,3.0,5.0,2.71,2,Barley - Chickpea - Wheat
899+Morphology+CP324,148.8392486572,-35.9819984436,630.0,1.3,3.0,3.0,5.5,4.16,0,Oats - Lupin - Pasture
899+BGM_FSS+0151,148.2853393555,-35.7649612427,630.0,4.65,1.0,2.0,5.745,3.115,2,Barley - Chickpea - Wheat
899+SSM+SSM30,146.634475708,-35.8963661194,630.0,0.9,4.0,3.0,5.99,2.07,1,Durum Wheat - Lentil - Barley
899+SSM+SSM116,147.4592132568,-34.9817504883,630.0,1.01,5.0,3.0,5.745,1.947142857142857,0,Oats - Lupin - Pasture
899+SSM+SSM208,147.4592132568,-34.9817504883,630.0,0.9,5.0,3.0,5.5,1.824285714285714,0,Oats - Lupin - Pasture
899+SSM+SSM207,147.4592132568,-34.9817504883,630.0,0.9,5.0,3.0,5.0,1.7014285714285713,0,Oats - Lupin - Pasture
899+SSM+SSM211,147.4592132568,-34.9817504883,630.0,0.9,5.0,3.0,5.5,1.5785714285714283,0,Oats - Lupin - Pasture
899+SSM+SSM209,147.4592132568,-34.9817504883,630.0,0.9,5.0,3.0,5.0,1.4557142857142855,0,Oats - Lupin - Pasture
899+SSM+SSM212,147.4592132568,-34.9817504883,630.0,0.9,5.0,3.0,5.0,1.3328571428571427,0,Oats - Lupin - Pasture
898+CSIRO_LW+CP338,146.3319854736,-35.9176940918,630.0,1.8,3.0,2.0,6.3,1.21,1,Durum Wheat - Lentil - Barley
899+Wagga_SLM+LS9,147.4524230957,-35.2196426392,630.0,0.47,4.0,1.0,5.5,6.81,0,Oats - Lupin - Pasture
899+BGM_FSS+0015,148.311340332,-35.8923301697,630.0,4.6,5.0,4.0,5.25,3.915,2,Barley - Chickpea - Wheat
899+Wagga_SLM+LS40,147.4988708496,-35.1667556763,630.0,0.6,4.0,3.0,5.0,1.02,0,Oats - Lupin - Pasture
899+BGM_FSS+0140,148.2613372803,-35.5956039429,630.0,1.45,5.0,4.0,5.5,7.48,0,Oats - Lupin - Pasture
899+Wagga_SLM+LS8,147.5435791016,-35.2227363586,630.0,0.42,4.0,3.0,5.43,3.94,0,Oats - Lupin - Pasture
899+BGM_FSS+0111,148.215713501,-35.6280441284,630.0,1.1,5.0,4.0,5.383333333333333,3.04,0,Oats - Lupin - Pasture
899+BGM_ESM+1020,148.207321167,-35.6529655457,630.0,2.91,5.0,3.0,5.336666666666667,2.14,2,Barley - Chickpea - Wheat
899+Wagga_SLM+BD40,147.4346008301,-35.0309867859,630.0,1.98,4.0,3.0,5.29,1.24,2,Barley - Chickpea - Wheat
899+Morphology+CP311,149.9182891846,-35.558631897,630.0,1.4,5.0,4.0,4.44,17.8,3,Wheat - Canola - Field Pea
899+Wagga_SLM+LS17,147.4504089355,-35.221534729,630.0,0.62,5.0,3.0,5.36,3.1,0,Oats - Lupin - Pasture
899+Wagga_SLM+LS43,147.5550079346,-35.231010437,630.0,1.4,4.0,3.0,5.5,1.11,0,Oats - Lupin - Pasture
899+Morphology+CP326,149.8410339355,-35.494682312,630.0,1.1,3.0,2.0,5.0,3.68,0,Oats - Lupin - Pasture
899+Wagga_SLM+BD16,147.4476013184,-35.002986908,630.0,0.86,4.0,3.0,8.08,2.13,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0005,148.2686004639,-35.7851104736,630.0,0.45,3.0,3.0,6.5,11.31,1,Durum Wheat - Lentil - Barley
899+Wagga_SLM+LS51,147.5162811279,-35.2307281494,630.0,1.03,3.0,3.0,4.56,1.82,0,Oats - Lupin - Pasture
899+Wagga_SLM+BD38,147.4449462891,-35.0368995667,630.0,1.85,4.0,3.0,4.95,0.94,2,Barley - Chickpea - Wheat
899+BGM_FSS+0035,148.29737854,-35.837688446,630.0,0.87,5.0,4.0,4.0,6.67,0,Oats - Lupin - Pasture
899+Wagga_SLM+LS21,147.5338745117,-35.1879577637,630.0,0.9,5.0,3.0,6.0,1.53,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0119,148.1830596924,-35.6665496826,630.0,3.02,5.0,4.0,6.125,4.2475000000000005,2,Barley - Chickpea - Wheat
899+BGM_FSS+0112,148.2021636963,-35.6313514709,630.0,2.57,5.0,4.0,6.25,6.965000000000001,2,Barley - Chickpea - Wheat
899+BGM_FSS+0155,148.1760559082,-35.690700531,630.0,2.52,5.0,3.0,6.375,9.6825,2,Barley - Chickpea - Wheat
899+Wagga_SLM+LS10,147.4415893555,-35.2236747742,630.0,0.67,4.0,3.0,6.5,12.4,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0121,148.1577758789,-35.7130203247,630.0,2.86,3.0,3.0,6.0,7.125,2,Barley - Chickpea - Wheat
899+Wagga_SLM+LS48,147.491317749,-35.2044410706,630.0,1.6,4.0,3.0,5.5,1.85,0,Oats - Lupin - Pasture
899+Wagga_SLM+LS27,147.5355987549,-35.2183189392,630.0,0.8,4.0,1.0,4.96,2.2,0,Oats - Lupin - Pasture
899+BGM_FSS+0136,148.2624511719,-35.5905265808,630.0,0.69,6.0,4.0,5.48,4.109999999999999,0,Oats - Lupin - Pasture
899+BGM_FSS+0080,148.2745666504,-35.7307281494,630.0,2.0,5.0,4.0,6.0,6.02,2,Barley - Chickpea - Wheat
898+RAALS+CP405,147.4730072021,-34.6864624023,630.0,1.5,4.0,3.0,5.4,1.9,0,Oats - Lupin - Pasture
899+BGM_FSS+0139,148.2553863525,-35.5965576172,630.0,1.58,5.0,3.0,5.715,1.6549999999999998,1,Durum Wheat - Lentil - Barley
899+Wagga_SLM+LS58,147.5014343262,-35.1961936951,630.0,2.0,3.0,3.0,6.03,1.41,2,Barley - Chickpea - Wheat
899+Wagga_SLM+LS22,147.5379943848,-35.1772079468,630.0,0.5,4.0,1.0,6.5,3.6,1,Durum Wheat - Lentil - Barley
899+Wagga_SLM+LS11,147.5026702881,-35.1909408569,630.0,1.0,5.0,3.0,6.13,2.49,1,Durum Wheat - Lentil - Barley
899+Wagga_SLM+BD67,147.4379425049,-35.031867981,630.0,2.37,4.0,3.0,4.43,2.08,2,Barley - Chickpea - Wheat
899+Wagga_SLM+LS16,147.4923248291,-35.1767463684,630.0,0.65,4.0,3.0,6.0,2.44,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0115,148.1857299805,-35.6182441711,630.0,1.48,6.0,4.0,4.83,4.505000000000001,0,Oats - Lupin - Pasture
899+BGM_FSS+0061,148.2377929688,-35.7330780029,630.0,3.0,2.0,2.0,3.66,6.57,2,Barley - Chickpea - Wheat
899+Wagga_SLM+LS12,147.4751586914,-35.2029266357,630.0,0.53,5.0,2.0,5.5,3.45,0,Oats - Lupin - Pasture
899+BGM_FSS+0131,148.1341247559,-35.75233078,630.0,3.01,6.0,4.0,5.09,5.815,2,Barley - Chickpea - Wheat
899+BGM_FSS+0090,148.1914520264,-35.7624588013,630.0,3.0,5.0,4.0,4.68,8.18,2,Barley - Chickpea - Wheat
82173,149.656764352836,-34.927492413566,630.0,0.5,2.0,2.0,4.7,1.18,0,Oats - Lupin - Pasture
81794,149.734265083512,-35.2767236743751,630.0,0.5,3.0,2.0,5.8,6.9,0,Oats - Lupin - Pasture
